[2026-03-05T21:00:50.211Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:00:50.619Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:01:14.909Z] [INFO] Server running on port 3001
[2026-03-05T21:01:17.866Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:01:30.378Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:02:23.544Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:02:56.850Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:03:02.549Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:03:02.790Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:03:02.939Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:03:03.100Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:03:03.261Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:03:03.426Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:03:03.573Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:03:03.728Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:03:03.873Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:03:04.017Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:03:04.201Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:03:04.340Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:03:04.487Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
